"display_title" "opening_date" "publication_date" "url" "critics_pick" "review" "sentiment_score" "genre.x" "MPAA_rating" "distributor" "production_budget" "opening_weekend" "domestic_total_gross" "foreign_box_office" "widest_release_theaters" "release_date" "close_date" "in_release_days" "in_release_weeks"
It’s an alluring milieu — charming, civilized and perfectly, if a shade too flawlessly, arranged. Here, even a busy breakfast table and the fruit on a tree can seem art directed. Mr. Guadagnino almost can’t help making everything look intoxicating, yet he also makes you believe in this family’s reality. The grand piano isn’t for show and neither are the books or the open affection and respect with which Elio and his parents treat one another. (The movie reminds you how rarely characters read for pleasure, much less listen to classical music.) “Call Me by Your Name” is set in 1983, so no one is staring into a smartphone. And the time frame means that AIDS doesn’t figure in the story, though there’s a suggestion that the closet does.
The story primarily unfolds through Elio’s point of view. The restless camera tags alongside him, showing you what he sees, his erotic reveries and yearning. And it’s Elio who initiates the affair, at least overtly, though Oliver later admits to playing his part in what the story frames as a mutual seduction. Mr. Guadagnino avoids directly engaging the difference in Elio and Oliver’s ages, which might have forced him to explore the underside of his sumptuous surfaces to greater, messier effect. Instead, Mr. Guadagnino leans on beauty, as when Elio’s father poetically speaks to an increasingly agitated Oliver about the “ageless ambiguity” of some male statues (“as if they’re daring you to desire them”).
Written by James Ivory (the director of films like “Maurice”), “Call Me by Your Name” progresses through evasions and encounters, with Elio advancing, Oliver receding and their circling narrowing. The two don’t (can’t, won’t) always say what they mean. So Mr. Guadagnino speaks for them by eroticizing their world, making desire visible in the luxuriousness of the setting, in the green enveloping the villa, the gushing waters of a pool and the graceful lines of male statues. When Oliver hungrily eats a soft-boiled egg, cracking the shell and causing the yolk to messily spurt, Mr. Guadagnino’s lyricism slides into comedy; it’s hard to know just how self-mocking the moment is meant to be.
Even so, the lyricism seduces as does fragile, ecstatic Elio. “Call Me by Your Name” is less a coming-of-age story, a tale of innocence and loss, than one about coming into sensibility. In that way, it is about the creation of a new man who, the story suggests, is liberated by pleasure that doesn’t necessarily establish sexual identity. It’s important that Elio and Oliver have relationships with women, though for seemingly different reasons: the overheated Elio sleeps with a girlfriend (Esther Garrel), while Oliver carries on a more performative affair with a local (Victoire Du Bois). The women are not treated with much kindness, but these affairs further complicate the movie’s vision of pleasure’s fluidity.
There are moments when Mr. Guadagnino’s visual choices seem unintentionally in competition with the quieter, intricate emotions that his actors put across so movingly. He can be discreet to the point of coyness (bodies sweat but don’t necessarily grunt), but it is finally the insistent delicacy and depth of emotion that makes these characters so heart-skippingly tender. The charismatic Mr. Chalamet, Mr. Hammer and Mr. Stuhlbarg — whose brilliant delivery of a tricky speech pierces the heart and, crucially, the movie’s lustrous patina — transform beauty into feeling. In one alive, vulnerable and life-altering summer, Elio’s desire finds its purpose. He loves, and in loving, he becomes." 0.994995072 "Drama" "R" "Sony Classics" "" "" "" "" "6" "26-Jan-07" "11-Feb-07" "17" 2.4
"59" "Camera Obscura" "6/9/2017" "6/8/2017" "http://www.nytimes.com/2017/06/08/movies/camera-obscura-review.html" 0 "The horror movie “Camera Obscura,” the feature debut of the writer-director Aaron B. Koontz, is nothing if not an exhaustive compendium of fright-film motifs. The story concerns Jack Zeller (Christopher Denham), a photographer with post-traumatic stress disorder who returns to his Midwestern hometown from a combat assignment in the Middle East, only to receive a camera whose pictures, when developed, depict murder victims within Jack’s compositions. Soon Jack is killing people himself — ostensibly to save others at risk (his motivation is murky) — and staging the crime scenes to resemble the images in the photos.
His mental unraveling in “Camera Obscura” somewhat echoes those in many horror outings (including, for starters, “The Shining” and “Repulsion”). Other similarities to earlier movies abound, including a killer on grainy old videotape (à la “V/H/S/2”); spectral photographic phenomena (shades of “Shutter”); a soupçon of torture porn (as in the “Saw” and “Hostel” movies); dashes of morbid humor; and that hardy perennial the kitchen knife (but a special Tanaka knife). A flashback to Jack’s battle trauma adds a modicum of social commentary. Centipedes make cameo appearances, while intimations of child abuse and stalking are wholly gratuitous.
Fortunately, “Camera Obscura” has decent actors to flesh out its dubious premise, not least Mr. Denham (“Billions”). As Jack’s fiancée, Nadja Bobyleva has an appealing range, and Catherine Curtin (soon to be in the second season of “Stranger Things”) ably portrays a skeptical police detective. But their diligent efforts cannot raise the whole enterprise above a mere exercise." 0.097314604 "Horror" "Unrated" "Fish Eye" "" "$16,768 " "$34,768 " "$53,921,000 " "3,058" "2-Apr-04" "26-Aug-04" "147" 21
"60" "Captain Underpants: The First Epic Movie" "6/2/2017" "6/1/2017" "http://www.nytimes.com/2017/06/01/movies/captain-underpants-review.html" 0 "Superintendents know that the job of school principal is one of the toughest to fill in the education world. It will be a lot more so now that moviegoing children and taxpayers will expect principals to run around in their underwear battling giant toilets.
Yes, “Captain Underpants: The First Epic Movie” has arrived. It’s a frenetic animated film from DreamWorks whose title is really all you need to know. If your child would be amused by seeing the word “underpants” in the name of a movie, this one will entertain. The film, based on Dav Pilkey’s book series, is about two friends, George (voiced by Kevin Hart) and Harold (Thomas Middleditch), who spend their spare time pulling pranks and creating D.I.Y. comic books about Captain Underpants, a superhero whose outfit boldly acknowledges that many superhero costumes in fact are little more than fancy undies.
The boys’ nemesis is Mr. Krupp (Ed Helms), the school principal. Maybe someone has made a kids’ movie with a principal who isn’t buffoonish or heartless, but here the stereotypes are embraced with a vengeance. Mr. Krupp has a sign on his desk that reads, “Hope dies here.” When the boys hypnotize him, he turns into Captain Underpants, and the story goes into overdrive, with the Captain becoming the world’s defense against the evil Professor Poopypants (Nick Kroll).
The plot verges on indecipherable as the movie rolls along, and the grown-up jokes grow scarcer. Poopypants has a ray gun that can make things (including anything in a bathroom) gigantic, which at least keeps the tale colorful. The best animated movies for children are sublime. This one generally settles for noisy, though it throws in a positive message at the end." 0.918267537 "Animation" "PG" "Fox" "$38,000,000 " "$23,851,539 " "$73,921,000 " "" "1,519" "12-Feb-88" "" "" NA
"61" "Cars 3" "6/16/2017" "6/14/2017" "http://www.nytimes.com/2017/06/14/movies/cars-3-review.html" 1 "The conventional reviewers’ wisdom about Pixar’s “Cars” movies is that they are colorful and engaging but hardly as breathtaking as much of the other output from that animation studio. There are some who think Pixar should aim for awe-inspiring every time, because why not? Then there are crankier critics who will point out that driverless talking cars just aren’t terribly interesting, and can be a little goofy.
“Cars 3,” directed by Brian Fee from a script by Kiel Murray, Bob Peterson and Mike Rich (the story is credited to a whole other pit crew that includes Mr. Fee), isn’t going to win any converts among those with an animus toward talking cars. But if you can roll with it, the movie is both breezy fun and a pain-free life lesson delivery vehicle.
It begins predictably, with the cheerful, cherry red Lightning McQueen (voiced with the usual winning pep by Owen Wilson) about to zip across another finish line in first place. Except he doesn’t win — he’s beaten by a new, sleek, black-with-purple-highlights racer by the name of Jackson Storm. This brash rookie, who is voiced with apt smarm by Armie Hammer, oozes, “I can’t believe I get to race Lightning McQueen in his farewell season.” Lightning notes that it’s not his farewell season and … well, you get the idea.
“The racing world is changing,” a friend advises Lightning, and our hero makes a small effort to adapt. Hooking up with a new corporate sponsor, he starts his off-season training at a top-tier site where, apparently, newbies such as Jackson Storm tone up. There, he’s introduced to a plucky performance coach, a yellow car named Cruz Ramirez (voiced by Cristela Alonzo). She responds to Lightning’s frequent angry, pessimistic outbursts with an instruction to “Use that!”
For a while, the movie is content to poke mild fun at America’s enthusiasm for trendy self-help bromides and computer-age enhancement technology. There’s a mild paradox that this entirely digital movie waxes so nostalgic for analog-age stuff: Art Deco diners, big-knob radios, funky garages. Lightning frequently flashes back to the advice and companionship of his old mentor, Doc Hudson (voiced by the great Paul Newman in the first “Cars” movie in 2006, two years before his death, and who is again heard here). Acting on those memories, Lightning eventually persuades Cruz to get out and train with him, old-school style, at a nearby beach.
It’s here that the movie’s pedagogic mode starts, gently, to kick in. Lightning begins to realize that maybe he really is too old to be a champion on the track anymore — so what’s next? And Cruz reveals her thwarted ambition to be a racer, a dream she abandoned out of fear the first time she was told to take her shot. In a quiet but ultimately forceful way, “Cars 3” makes a case against sexism and for the joys of mentorship. Because the “Cars” franchise has been Lightning’s story, the male lead is, by that logic, the initial force moving the female-empowerment theme. That may strike some as a little patronizing. But the Cruz-Lightning dynamic eventually evolves into a genuine friendship that has a lot of appeal.
Along the way, entertaining set pieces, such as a visit to a demolition derby gone wrong, and an evening trading war stories with a group of older racecars headed by Doc Hudson’s guru, a truck named Smokey (voiced by Chris Cooper), keep the story humming quite comfortably. It all builds to a climax that’s entirely satisfying and not particularly overwhelming. And that’s fine. As someone who was nearly traumatized by “Toy Story 3” and reduced to a sniveling wreck by much of “Inside Out,” I welcome the occasional Pixar movie that doesn’t morph me into a quivering jelly mound.
And the lessons are right-on, for adults as well as children. One more thing: If you’re intimidated by the movie’s running time, note that the feature is preceded by a short, “Lou,” which is very sweet and charming, and also that, as is customary with a Pixar movie, the end credits take a while." 0.978736373 "Animation" "G" "Buena Vista" "" "$53,688,680 " "$152,901,115 " "" "1,917" "17-Sep-93" "" "" NA
"62" "Chasing Trane: The John Coltrane Documentary" "4/14/2017" "4/13/2017" "http://www.nytimes.com/2017/04/13/movies/chasing-trane-the-john-coltrane-documentary-review.html" 0 "“Chasing Trane: The John Coltrane Documentary” portrays the legendary saxophonist as a tirelessly forward-thinking artist. (His music, the philosopher Cornel West says in the film, was more of a thermostat than a thermometer.) But as a biographical movie, “Chasing Trane” sticks to a conventional, dully informative format. Its ideal venue is a Coltrane tribute event or a classroom.
The director, John Scheinfeld (“The U.S. vs. John Lennon”), has amassed a wide array of Mr. Coltrane’s collaborators, friends, influences and chroniclers (including Ben Ratliff, formerly of The New York Times). But for every talking head with serious musical insight, like Wynton Marsalis, we get another like Bill Clinton — a jazz fan, but probably mostly present because he was too prominent to cut.
The film shows other signs of injudicious editing. “We were there for a reason, which was to create beautiful music,” says the pianist McCoy Tyner of playing with the John Coltrane Quartet, adding with a laugh, “I use the word ‘beautiful’ because I can’t think of a better word.” Carlos Santana and John Densmore, the Doors’ drummer, offer fawning platitudes.
More productive, this film includes Mr. Coltrane’s performances, along with home movies, family interviews and the musician’s own words, read by Denzel Washington. Occasionally it delves into musical analysis, discussing how spirituality and events (the 1963 church bombing in Birmingham, a 1966 visit to Nagasaki) affected Mr. Coltrane’s compositions, style and shows.
But while the recordings are wall-to-wall, this somewhat busy documentary rarely accords time for simply listening." 0.571765233 "Documentary" "Not Yet Rated" "Abramorama" "" "$5,550 " "" "$72,230 " "2" "21-Aug-09" "3-Sep-09" "14" 2
"63" "Chavela" "10/4/2017" "10/3/2017" "http://www.nytimes.com/2017/10/03/movies/chavela-review.html" 0 "Those looking to learn the basic outlines of the life of the singer Chavela Vargas could do worse than watch “Chavela,” but this plodding documentary from Catherine Gund and Daresha Kyi rarely transcends simple biography. While the film includes footage of Ms. Vargas onstage and recordings of her music, it doesn’t convey the power of her artistry, giving the viewer a sense of why, to paraphrase the musician Miguel Bosé from the film, listeners might believe that she could die from being overwhelmed in the middle of a song. (Separately, we learn that may have been her wish.)
Ms. Vargas was born in Costa Rica, moved to Mexico as a child and died there in 2012 at age 93. The movie’s centerpiece is footage of Ms. Vargas speaking for herself, in material that Ms. Gund shot in 1991. These candid conversations have been supplemented with the usual array of photos and talking heads — people who knew Ms. Vargas from collaborations, love and friendship — along with a rundown of the singer’s life.
Although she became known for her performances of ranchera, especially songs by the composer José Alfredo Jiménez, Ms. Vargas eschewed the flamboyant hoop skirts and jewelry associated with performers of the genre, wearing pants and earning a reputation for, as it’s described in the film, “singing like a man.” She didn’t come out as a lesbian until the age of 81, but according to the film, her sexuality was no secret. We hear about how she swooned over Frida Kahlo, among many other women. Severe alcoholism stalled her career, until a cabaret performance in Mexico City in the early 1990s rekindled the spark and eventually led to fresh international acclaim. (She did not perform much in the United States; The New York Times interviewed her in 2003 on the occasion of her Carnegie Hall debut at the age of 83.)
“Chavela lived in a continual state of farewell,” says the director Pedro Almodóvar, who befriended the singer in her later life and used her songs in some of his films. The movie certainly conveys that sense: It plays like a dirge, not a celebration." 0.214247154 "Documentary" "Unrated" "Music Box Films" "" "$748 " "$3,643 " "$298,919 " "65" "15-Sep-06" "30-Nov-06" "77" 11
"64" "Chuck" "5/5/2017" "5/3/2017" "http://www.nytimes.com/2017/05/03/movies/chuck-review-liev-schreiber-chuck-wepner.html" 0 "It is unlikely that anyone will ever film a fictional chronicle of the English rock band King Crimson, but if anyone were to do so, Liev Schreiber would be a good choice to play its leader, Robert Fripp. The two have a definite resemblance, and share a near-formal bearing in public.
Mr. Schreiber has his own ideas about which real-life figures he should be playing. He is both the star and a producer of “Chuck,” a biopic of Chuck Wepner, a New Jersey-born-and-bred boxer (nicknamed, to his chagrin, the Bayonne Bleeder), whose improbable 1975 bout with Muhammad Ali inspired Sylvester Stallone’s screenplay for “Rocky.”
Mr. Schreiber has almost no physical resemblance to Wepner, in his heyday a burly, mustachioed redhead. Mr. Schreiber is a terrific actor, however, and he pulls it off. His portrayal works partly because of its understatement. He doesn’t try to Jersey things up too much, so to speak; nor does Elisabeth Moss, as the philandering boxer’s long-suffering wife. Naomi Watts, on the other hand, playing a later love of Wepner’s, clearly relishes the opportunity to perform in a vintage glitter sweater and painted-on jeans.
Wepner’s story is not entirely unfamiliar. In the movie, credited to four screenwriters (including Mr. Schreiber), and directed by Philippe Falardeau, Wepner is a more or less lovable rapscallion, whose relentless post-Ali-bout partying features a disastrous introduction to cocaine. A derailed stint in showbiz, courtesy of Mr. Stallone, and some trouble with the law follow.
This is a pretty good boxing picture, with credible redemption notes, but one character could be summing up the whole enterprise when she says to Chuck: “There’s more to you than meets the eye. Not much. But just enough.”" 0.918729577 "Drama" "R" "IFC" "" "$34,565 " "$320,725 " "" "1" "1-Apr-11" "19-May-11" "49" 7
"65" "Churchill" "6/2/2017" "5/31/2017" "http://www.nytimes.com/2017/05/31/movies/churchill-review.html" 0 "Winston Churchill the character has appeared in dozens of films, TV movies and mini-series over the years, and the portraits always hew to the gruff British bulldog conception of this 20th-century leader. “Churchill,” a new movie directed by Jonathan Teplitzky from a script by Alex von Tunzelmann, is laudable in its effort to shine a light on the Churchill who struggled in private with crippling depression — “the black dog,” he called it. His accuracy-in-metaphor was such that sufferers of subsequent generations have frequently adopted the term.
The movie’s ambition is the good news. The bad news is that it is a hash, choosing to jumble the historical record and frame a Churchill bout with depression against the D-Day invasion of France by Allied forces. While Churchill did express serious reservations about the operation in the weeks before it occurred, he was largely reconciled to the plan by the time it happened. This movie has Churchill, played with both grim determination and wild abandon by Brian Cox, railing against the high command in terms and gestures that mostly suggest a poorly run group therapy session.
In some bad movies, a consolation prize comes when the actors are able to transcend, or just steamroll, the weak material and serve up performance pleasures. But to watch John Slattery as Dwight D. Eisenhower bark at Mr. Cox’s Churchill about not hosting Churchill’s “amateur theatrics” because “there’s a war on!” is to witness the sorry spectacle of an actor utterly defeated by his script. It’s depressing." 0.034780909 "Biography" "PG" "Cohen Media Group" "" "$408,891 " "$1,281,258 " "" "2" "24-Apr-15" "21-May-15" "28" 4
"66" "City of Ghosts" "7/7/2017" "7/6/2017" "http://www.nytimes.com/2017/07/06/movies/city-of-ghosts-review.html" 0 "In 796, the caliph Harun al-Rashid moved the seat of the Muslim Empire to the northern Syrian city of Raqqa, on the banks of the Euphrates. There, Harun — the inspiration for a caliph in “One Thousand and One Nights” — is said to have played polo and perfumed the air with garments worn by female slaves. Raqqa’s later history largely registers as more mundane, a tale of declines and revivals that turned catastrophic when the Islamic State, or ISIS, seized it in 2014, making the city its effective capital. American-backed forces are currently battling ISIS for control of a city in ruins.
“City of Ghosts,” a blunt instrument of a documentary, is an urgent and heart-heavy account of Syrian resistance from the ground up. Specifically, it recounts the story and activism of Raqqa Is Being Slaughtered Silently, or R.B.S.S., a citizen-journalist initiative that emerged in April 2014 to secretly record the atrocities committed by ISIS in Raqqa. (R.B.S.S.’s website states that the group is nonpartisan and explains that it is “a campaign launched by a group of nonviolent activists in Raqqa to expose the atrocities committed by the regime of Bashar al-Assad and terrorist extremist group the Islamic State of Iraq and Syria” toward civilians in that city.)
Directed by Matthew Heineman, “City of Ghosts” primarily focuses on three R.B.S.S. activists identified by their first names — Aziz, Hamoud and Mohamad — who, even after being forced to flee Raqqa, intently work to get images and information about the city out into the world. Mr. Heineman, who is also the movie’s cinematographer, more or less opens and closes the documentary in 2015 with some of the activists in New York, where R.B.S.S. received an award from the nonprofit group the Committee to Protect Journalists. It’s a distracting framing device that suggests Mr. Heineman believed that he first needed to give his audience reassuringly recognizable faces. Cut to David Remnick, editor of The New Yorker, at the podium.
“City of Ghosts” is best when it lets the activists tell their own stories, which they do in smoothly edited tag-team voice-over, in on-camera scenes from their life abroad and in ghastly underground images recorded in Raqqa. It’s an account of heroic resistance that essentially begins in 2011 when the Arab Spring reached Syria (“we started to scream for freedom”), and peaceful demonstrations against President Assad were met with state violence followed by power grabs. Along the way, Mr. Heineman furnishes a sketchy look at the various players and geopolitical stakes, glossing over Syria’s historical complexities and the role that the United States has played in the rise of ISIS.
The activists come across as ordinary men made extraordinary by circumstance; some seem almost surprised at where life and war have taken them. Aziz was a student who became a spokesman, and Mohamad was a teacher turned reporter, but not much else about the group’s origins comes through. Mr. Heineman glides over the nuts and bolts of its operational beginning. He may not have thought it germane, or maybe thought covering it might have endangered lives. Or perhaps Mr. Heineman, an excitingly visceral director — his last documentary was “Cartel Land” — thought it might slow this fast-paced feature down. Like the Arab Spring represented in the movie, R.B.S.S. almost seems to have spontaneously erupted.
That’s unfortunate because more information and in-depth analysis, as well as greater restraint in the use of atrocity images, might have deepened a movie that leans on shortcuts and visual shocks. In “City of Ghosts,” Mr. Heineman marshals some incredible material — including on-the-run undercover cellphone imagery — into a moving record of extraordinary individual and collective heroism, one that eventually emphasizes the personal over the political. You admire Aziz, Hamoud, Mohamad and their partisan compatriots. And soon you fear for them too, worrying over their every move as they fight an enemy that is scarily near. Yet as these men come into the focus, Raqqa and the region recede.
As the activists struggle to keep Raqqa alive for the world, funneling news to outside agencies, the dead in this movie — decapitated, crucified, shot — come close to overwhelming the living. In a few instances, Mr. Heineman shows men being shot point blank in the head; elsewhere, he cuts way before the fatal moment, which turns these murders into appalling cinematic cliffhangers. He seems to believe that it’s crucial to include numerous unfiltered ISIS atrocities, but raw and blurred versions of savagery prove this false. Mr. Heineman is clearly passionate and sincere, but he doesn’t fully grasp the power of suggestion or the audience’s capacity for empathy. You don’t need to watch a man die to understand the horror of his death." 0.738041987 "Documentary" "R" "IFC" "" "$828 " "$828 " "$47,461 " "23" "10-Jul-09" "19-Nov-09" "133" 19
"67" "City of Ghosts" "7/7/2017" "7/6/2017" "http://www.nytimes.com/2017/07/06/movies/city-of-ghosts-review.html" 0 "In 796, the caliph Harun al-Rashid moved the seat of the Muslim Empire to the northern Syrian city of Raqqa, on the banks of the Euphrates. There, Harun — the inspiration for a caliph in “One Thousand and One Nights” — is said to have played polo and perfumed the air with garments worn by female slaves. Raqqa’s later history largely registers as more mundane, a tale of declines and revivals that turned catastrophic when the Islamic State, or ISIS, seized it in 2014, making the city its effective capital. American-backed forces are currently battling ISIS for control of a city in ruins.
“City of Ghosts,” a blunt instrument of a documentary, is an urgent and heart-heavy account of Syrian resistance from the ground up. Specifically, it recounts the story and activism of Raqqa Is Being Slaughtered Silently, or R.B.S.S., a citizen-journalist initiative that emerged in April 2014 to secretly record the atrocities committed by ISIS in Raqqa. (R.B.S.S.’s website states that the group is nonpartisan and explains that it is “a campaign launched by a group of nonviolent activists in Raqqa to expose the atrocities committed by the regime of Bashar al-Assad and terrorist extremist group the Islamic State of Iraq and Syria” toward civilians in that city.)
Directed by Matthew Heineman, “City of Ghosts” primarily focuses on three R.B.S.S. activists identified by their first names — Aziz, Hamoud and Mohamad — who, even after being forced to flee Raqqa, intently work to get images and information about the city out into the world. Mr. Heineman, who is also the movie’s cinematographer, more or less opens and closes the documentary in 2015 with some of the activists in New York, where R.B.S.S. received an award from the nonprofit group the Committee to Protect Journalists. It’s a distracting framing device that suggests Mr. Heineman believed that he first needed to give his audience reassuringly recognizable faces. Cut to David Remnick, editor of The New Yorker, at the podium.
“City of Ghosts” is best when it lets the activists tell their own stories, which they do in smoothly edited tag-team voice-over, in on-camera scenes from their life abroad and in ghastly underground images recorded in Raqqa. It’s an account of heroic resistance that essentially begins in 2011 when the Arab Spring reached Syria (“we started to scream for freedom”), and peaceful demonstrations against President Assad were met with state violence followed by power grabs. Along the way, Mr. Heineman furnishes a sketchy look at the various players and geopolitical stakes, glossing over Syria’s historical complexities and the role that the United States has played in the rise of ISIS.
The activists come across as ordinary men made extraordinary by circumstance; some seem almost surprised at where life and war have taken them. Aziz was a student who became a spokesman, and Mohamad was a teacher turned reporter, but not much else about the group’s origins comes through. Mr. Heineman glides over the nuts and bolts of its operational beginning. He may not have thought it germane, or maybe thought covering it might have endangered lives. Or perhaps Mr. Heineman, an excitingly visceral director — his last documentary was “Cartel Land” — thought it might slow this fast-paced feature down. Like the Arab Spring represented in the movie, R.B.S.S. almost seems to have spontaneously erupted.
That’s unfortunate because more information and in-depth analysis, as well as greater restraint in the use of atrocity images, might have deepened a movie that leans on shortcuts and visual shocks. In “City of Ghosts,” Mr. Heineman marshals some incredible material — including on-the-run undercover cellphone imagery — into a moving record of extraordinary individual and collective heroism, one that eventually emphasizes the personal over the political. You admire Aziz, Hamoud, Mohamad and their partisan compatriots. And soon you fear for them too, worrying over their every move as they fight an enemy that is scarily near. Yet as these men come into the focus, Raqqa and the region recede.
As the activists struggle to keep Raqqa alive for the world, funneling news to outside agencies, the dead in this movie — decapitated, crucified, shot — come close to overwhelming the living. In a few instances, Mr. Heineman shows men being shot point blank in the head; elsewhere, he cuts way before the fatal moment, which turns these murders into appalling cinematic cliffhangers. He seems to believe that it’s crucial to include numerous unfiltered ISIS atrocities, but raw and blurred versions of savagery prove this false. Mr. Heineman is clearly passionate and sincere, but he doesn’t fully grasp the power of suggestion or the audience’s capacity for empathy. You don’t need to watch a man die to understand the horror of his death." 0.738041987 "Documentary" "R" "United Artists" "" "$10,770 " "" "$6,852 " "3" "29-May-09" "19-Nov-09" "154" 22
"68" "Coco" "11/22/2017" "11/21/2017" "http://www.nytimes.com/2017/11/21/movies/coco-review-pixar-disney.html" 0 "One of the pleasures of a new Pixar feature is the chance to be amazed by what animation can do. Sometimes you witness a big, bold breakthrough, like the computer-assisted rendering of fur in “Monsters, Inc.,” of water in “Finding Nemo,” or of metal in “Cars.” The innovations in “Coco” are no less satisfying for being of a more subtle kind. The grain of leather and the rusted folds of corrugated metal have a rough, almost tactile quality. Human bones, hairless dogs and orange flower petals look uncannily (but not too uncannily) real. There are moments of cinematic rigor — when the animators mimic the movements and focal effects of an old-fashioned camera in actual physical space — that will warm any film-geek’s heart. Not to mention the Frida Kahlo-inspired musical number with dancing papaya seeds.
“Coco” is also one of those Pixar movies that attempt a conceptual breakthrough, an application of the bright colors and open emotionalism of modern, mainstream animation to an unlikely zone of experience. From the very start, the studio has explored the inner lives of inanimate objects like lamps and toys with a tenderness we now take for granted. It has also summoned the post-human future (“Wall-E”) and the human unconscious (“Inside/Out”) with breathtaking ingenuity. And now it has set out to make a family-friendly cartoon about death.
Don’t let that scare you or your children away. There is a murder (revealed in the third act) and a fatal church-bell-related accident (witnessed in the first), but the afterlife in “Coco” is a warm and hectic place, more comical than creepy. The story takes place during the Day of the Dead, when according to Mexican tradition (at least as interpreted by Lee Unkrich and Adrian Molina, who directed the screenplay written by Mr. Molina and Matthew Aldrich), the border controls between life and death relax and the departed are allowed temporary passage to the land of the living. A young boy named Miguel (voiced by Anthony Gonzalez) makes the trip in reverse, which is not to say that he dies, but rather that his living self, through one of several metaphysical loopholes that the movie explains as it goes along, is transported into a fantastical world of specters and skeletons, who hold fabulous parties and raucous outdoor concerts.
Nearly as enchanting as that magical realm is the Mexican village of Santa Cecilia, Miguel’s hometown, where he is part of a prosperous clan of shoemakers. The cultural vibe of “Coco” is inclusive rather than exoticizing, pre-empting inevitable concerns about authenticity and appropriation with the mixture of charm and sensitivity that has become something of a 21st-century Disney hallmark. Here, the importance of family — the multigenerational household that sustains and constrains the hero — is both specific and universal. It’s what explains the particular beats of Miguel’s story and what connects him to viewers regardless of background.
He shows a certain kinship with other well-known recent cartoon characters. A gifted musician in a family that forbids music, he is a bit like Remy, the “Ratatouille” rat whose kin were hostile to his artistic ambition, and like Mumble, the misfit penguin in “Happy Feet.” Miguel’s genealogical quest — a search for roots, lost ancestors and information that might explain who he is — resembles Dory’s journey in “Finding Dory.” The sidekicks who accompany him, animal and (formerly) human, are drawn from a familiar well of archetypes, and the final round of lesson-learning and reconciliation hits notes we have heard many times before.
But if “Coco” doesn’t quite reach the highest level of Pixar masterpieces, it plays a time-tested tune with captivating originality and flair, and with roving, playful pop-culture erudition. Miguel’s musical role model — and the source of the family embargo on musical expression — is a long-dead crooner and movie star named Ernesto de la Cruz (Benjamin Bratt). In life and in death, he incarnates venerable ideals of romance and wounded machismo, or at least their show-business incarnations. (His greatest hits and movie clips form part of the texture of “Coco,” the way the old “Woody’s Roundup” show did in the “Toy Story” movies.)
The purer embodiment of that tradition is Héctor (Gael García Bernal), a ragged, forgotten ghost who befriends Miguel. What links Héctor with de la Cruz is a lurid story of passion, betrayal and longing. Their lives and deaths are a ballad whose meaning and melody Miguel must learn. In doing so, he will understand the thread that links him to both of them, and also the sources of the anti-musical animus that runs so strongly in his maternal line.
Coco is the name of Miguel’s great-grandmother, who turns out to be the heart of the story. Her mother, Imelda (Alanna Noël Ubach), is a furious matriarch on the other side of the grave, while Coco’s daughter, Miguel’s Abuelita (Renée Victor), is a no-nonsense flesh-and-blood autocrat. Their determination to silence Miguel’s guitar arises from heartbreak, and from the instrument’s association with the waywardness of men.
“Coco” avoids the darker tones associated with this theme, in the way that old murder ballads are sometimes reconceived as children’s songs. It’s reassuring rather than haunting, which is a shrewd and successful commercial compromise, but a compromise all the same." 0.998959361 "Animation" "PG" "Buena Vista" "" "$50,802,605 " "" "" "1,800" "4-Sep-98" "" "" NA
"69" "Columbus" "8/4/2017" "8/3/2017" "http://www.nytimes.com/2017/08/03/movies/columbus-review.html" 1 "The existence of a debut as confident and allusive as “Columbus” is almost as improbable as the existence of Columbus, Ind., where the movie is set. Columbus’s claim to fame — other than being Vice President Mike Pence’s hometown — is that it’s an unlikely haven for modernist architecture. Through a combination of patronage and civic courtship, this southern Indiana city became a home to structures by Eliel Saarinen, I. M. Pei, Robert A. M. Stern, Richard Meier and many others.
Against this backdrop, Kogonada, a video essayist who has made artful film-analysis shorts for the Criterion Collection and Sight & Sound magazine, has shot a modest two-hander, using the architecture as a springboard for larger questions, much as his shorts are meta-riffs on the movies of Alfred Hitchcock and Richard Linklater. To his characters, a church and a bank by Eero Saarinen (Eliel Saarinen’s son) are everything and nothing.
Jin (John Cho), an English-to-Korean book translator in Seoul, travels to Columbus after his father, an architecture historian, collapses while in town for a talk. As Jin waits to find out whether his semi-estranged father will ever regain consciousness, he strikes up a friendship with Casey (Haley Lu Richardson), a tour guide and lifelong Columbus resident. A year out of high school, she is tempted to leave to study architecture, but she fears for the well-being of her unpredictable blue-collar mother (Michelle Forbes), for whom she cooks and essentially looks after.
Over several days, as Casey and Jin wander the sites, they debate such heady ideas as the healing power of buildings, modernism’s relationship to religion, and why — or whether — architecture means something to them. (“You grow up around something and it feels like nothing,” Jin says.) Kogonada also introduces parallel not-quite love interests: for Casey, a librarian (Rory Culkin) whose disquisition on the relative interest of video games and books may be intended as advice on how to watch this film; for Jin, a colleague of his father’s (Parker Posey) on whom he had a crush as a teenager.
The acknowledged influence of the great Japanese director Yasujiro Ozu looms over the proceedings. Kogonada draws not only on Ozu’s frequent theme of generational conflict but also on his shooting style. (Like Ozu, he often “crosses the line,” violating the conventions of how the camera is positioned relative to the characters in a scene.) The found backgrounds are as suggestive as the dialogue, with the director often observing his actors through doorways and mirrors.
